Frame;leftX;leftY;rightX;rightY
343;518;353;666;330
344;489;359;660;346
345;483;362;644;340
346;475;363;638;342
347;466;364;632;343
348;450;365;621;346
349;445;365;616;349
350;439;365;611;350
351;434;366;608;350
352;429;366;604;351
353;424;367;599;351
354;422;367;598;352
355;421;367;597;352
356;421;367;597;352
357;421;366;597;352
358;423;366;599;351
359;424;366;601;351
360;426;366;601;351
361;427;367;601;351
362;427;367;602;351
363;426;367;602;351
364;425;367;599;351
365;424;366;600;351
366;423;366;599;351
367;423;366;599;351
368;424;365;600;350
369;424;365;600;350
370;424;365;599;350
371;424;365;600;350
372;425;365;599;350
373;425;365;599;350
